Total $\rho$,Scenario,Regret
0,Optimal Sample,100.2590148014283
0,Uniform Sample,263.59629703145094
0,Optimal Sample,97.9143279645789
0,Uniform Sample,43.63538997523908
0,Optimal Sample,88.85962891412929
0,Uniform Sample,335.0755098636948
0,Optimal Sample,25.843083173064958
0,Uniform Sample,210.82287214338646
0,Optimal Sample,55.428982308882254
0,Uniform Sample,164.68945143942204
0,Optimal Sample,38.802077824554864
0,Uniform Sample,135.10898725555163
0,Optimal Sample,92.82207017114528
0,Uniform Sample,283.53249921354035
0,Optimal Sample,164.08091992113776
0,Uniform Sample,101.5520668919162
0,Optimal Sample,107.95139433458695
0,Uniform Sample,192.7783891386176
0,Optimal Sample,37.312270679160875
0,Uniform Sample,43.818389168588396
0,Optimal Sample,33.731088195957845
0,Uniform Sample,167.40388116838201
0,Optimal Sample,118.32873063124048
0,Uniform Sample,398.0530486454351
0,Optimal Sample,71.17838257391728
0,Uniform Sample,63.61771631112545
0,Optimal Sample,135.76180123935504
0,Uniform Sample,512.6682450626945
0,Optimal Sample,87.98587388158387
0,Uniform Sample,254.46462613811542
0,Optimal Sample,103.73918337417008
0,Uniform Sample,183.28746856862693
0,Optimal Sample,99.73521660125047
0,Uniform Sample,38.309411349810055
0,Optimal Sample,158.6840767316595
0,Uniform Sample,265.8510491138497
0,Optimal Sample,64.63805460632392
0,Uniform Sample,205.77947204657335
0,Optimal Sample,65.58616081044005
0,Uniform Sample,420.09888305552664
0,Optimal Sample,75.79692668565826
0,Uniform Sample,132.4316311082286
0,Optimal Sample,70.7041411851152
0,Uniform Sample,251.98897228957122
0,Optimal Sample,153.23916308495586
0,Uniform Sample,183.7533477996521
0,Optimal Sample,74.364171495058
0,Uniform Sample,131.0131206441564
0,Optimal Sample,64.14168325512158
0,Uniform Sample,147.66108484098424
0,Optimal Sample,25.83821597542032
0,Uniform Sample,97.06388466848715
0,Optimal Sample,51.81834749567076
0,Uniform Sample,94.26738812450958
0,Optimal Sample,222.4461355243344
0,Uniform Sample,93.74127539674048
0,Optimal Sample,71.16570050265474
0,Uniform Sample,188.2658481350121
0,Optimal Sample,169.37598034735504
0,Uniform Sample,428.3238189369578
0,Optimal Sample,150.10013791233027
0,Uniform Sample,516.0321217325765
0,Optimal Sample,10.95721841155162
0,Uniform Sample,149.2575639292933
0,Optimal Sample,69.84248819508841
0,Uniform Sample,228.90701307461896
0,Optimal Sample,144.73467931838653
0,Uniform Sample,156.8736039051113
0,Optimal Sample,36.91186316568971
