Total $\rho$,Scenario,Forecast error
0,Uniform Sample,6.6513549590692165
0,Optimal Sample,6.722040410526998
0,Uniform Sample,8.209812962898818
0,Optimal Sample,4.587615828467278
0,Uniform Sample,11.690140331917933
0,Optimal Sample,6.477979933926314
0,Uniform Sample,8.49604478724981
0,Optimal Sample,4.741152004882635
0,Uniform Sample,12.833069586155899
0,Optimal Sample,6.633964497058763
0,Uniform Sample,7.8118471267726335
0,Optimal Sample,6.432401852025663
0,Uniform Sample,10.03386774900129
0,Optimal Sample,4.497553800418035
0,Uniform Sample,7.253434404481649
0,Optimal Sample,4.462650692018096
0,Uniform Sample,10.350514955653056
0,Optimal Sample,4.978117934196235
0,Uniform Sample,6.131288120499379
0,Optimal Sample,5.547657600670331
0,Uniform Sample,11.194014363106675
0,Optimal Sample,5.021072277591786
0,Uniform Sample,6.8012966440744735
0,Optimal Sample,6.718910288285444
0,Uniform Sample,10.500816735798765
0,Optimal Sample,3.2918589746356854
0,Uniform Sample,6.514787821476476
0,Optimal Sample,4.47821515466539
0,Uniform Sample,9.121642771801072
0,Optimal Sample,6.423903379175002
0,Uniform Sample,8.114938556968994
0,Optimal Sample,5.536147035031251
0,Uniform Sample,10.499417784375582
0,Optimal Sample,6.0780153101854575
0,Uniform Sample,9.757864169169292
0,Optimal Sample,3.6289368000838715
0,Uniform Sample,7.610625595186966
0,Optimal Sample,6.313108749875986
0,Uniform Sample,9.405599551584757
0,Optimal Sample,5.774081863053751
0,Uniform Sample,10.059358512630345
0,Optimal Sample,5.41096238821287
0,Uniform Sample,9.570436374634125
0,Optimal Sample,5.390559756859238
0,Uniform Sample,8.099521365444783
0,Optimal Sample,4.7783303557180234
0,Uniform Sample,10.886589001000758
0,Optimal Sample,5.245062960805593
0,Uniform Sample,7.939478637383656
0,Optimal Sample,7.3871029041202965
0,Uniform Sample,8.72171857436235
0,Optimal Sample,4.262662043412685
0,Uniform Sample,9.919547261907315
0,Optimal Sample,7.6042248563414585
0,Uniform Sample,7.8114358324881
0,Optimal Sample,6.966415056431439
0,Uniform Sample,7.950705266122804
0,Optimal Sample,4.892724203901314
0,Uniform Sample,14.872455894937964
0,Optimal Sample,4.008345970954028
0,Uniform Sample,8.83316803134913
0,Optimal Sample,5.260663116697727
0,Uniform Sample,9.795165223614557
0,Optimal Sample,5.118844091005902
0,Uniform Sample,6.313420881073281
0,Optimal Sample,6.474518862054004
0,Uniform Sample,8.170340258553242
0,Optimal Sample,5.588805971393184
